date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2012_01_01 00:02:14	34.3	30.5	26.9	74.2	346.4	11	3.6
2012_01_01 00:08:29	34.1	30.5	26.5	73.6	349	12	8
2012_01_01 00:14:45	33.9	30.6	26.8	75	217.8	12	9.2
2012_01_01 00:21:00	33.8	30.6	27.3	76.6	280.8	17	14
2012_01_01 00:27:16	33.9	30.6	27.4	77	80.6	17	9.2
2012_01_01 00:33:31	33.8	30.6	27	76	11	17	12.2
2012_01_01 00:39:46	33.6	30.6	27.1	76.6	81	15	10.8
2012_01_01 00:46:01	33.4	30.6	26.4	75.2	18.4	15	11.6
2012_01_01 00:52:16	33.4	30.5	27.1	77.4	20.4	15	12.4
2012_01_01 00:58:32	33.3	30.5	27.1	77.8	17.2	15	11.8
2012_01_01 01:04:48	33.3	30.5	27.4	78.4	11.4	16	13.8
2012_01_01 01:11:03	33.4	30.5	27.2	77.8	148.2	16	11.8
2012_01_01 01:17:19	33.5	30.6	27.8	79.2	353.2	17	14
2012_01_01 01:23:34	33.7	30.6	27.6	78	354.4	17	12.8
2012_01_01 01:29:50	34	30.6	26.7	74.4	336	17	7
2012_01_01 01:36:06	34	30.6	26.4	73.2	351	8	5
2012_01_01 01:42:22	34	30.6	27	75.4	350.2	15	10
2012_01_01 01:48:37	33.5	30.6	26.5	75.2	218.6	17	10
2012_01_01 01:54:52	33.4	30.6	26.8	76.2	77.2	17	13.8
2012_01_01 02:01:08	33.1	30.6	26.1	75	356	19	12.4
2012_01_01 02:07:24	33.1	30.6	26.7	77	147.6	14	10.8
2012_01_01 02:13:39	33.2	30.6	27	77.8	78.2	14	9.8
2012_01_01 02:19:56	33.2	30.6	26.9	77.4	21.4	14	10.2
2012_01_01 02:26:18	33.3	30.6	26.5	75.8	22.6	16	10.4
2012_01_01 02:32:34	33.3	30.6	26	74.4	20.6	16	10.2
2012_01_01 02:38:49	33.3	30.6	26.1	74.6	149.8	17	9.6
2012_01_01 02:45:04	33.3	30.6	26.2	74.8	77.6	18	12.6
2012_01_01 02:51:23	33.4	30.6	26.2	74.8	148.8	18	12.4
2012_01_01 02:57:38	33.3	30.6	26.1	74.6	150.2	18	12.6
2012_01_01 03:03:55	33.4	30.6	26.3	74.8	15.4	18	12
2012_01_01 03:10:23	33.5	30.6	26.2	74.4	83	18	13.6
2012_01_01 03:16:50	33.3	30.6	26.7	76.2	281.4	18	12.8
2012_01_01 03:23:13	33.2	30.6	26.8	76.8	284.6	18	11.8
2012_01_01 03:29:41	33.3	30.6	26.9	77.2	217	18	14
2012_01_01 03:37:18	33.3	30.6	26.7	76.4	8.8	16	13.4
2012_01_01 03:43:39	33.2	30.6	26.6	76.4	148.4	17	14
2012_01_01 03:49:55	33.4	30.6	27.4	78.4	216	18	12.4
2012_01_01 03:56:11	33.1	30.6	26.6	76.8	150.2	18	13.2
2012_01_01 04:10:16	32.9	30.6	26.5	77	150.6	16	10.8
2012_01_01 04:16:31	33	30.6	26.5	76.6	217.8	17	13.6
2012_01_01 04:22:46	33.1	30.6	26.6	76.4	346.6	17	12.2
2012_01_01 04:29:01	33.2	30.6	26.2	75.2	276.8	17	7.6
2012_01_01 04:35:17	33.2	30.6	26.6	76.4	10.6	13	9.6
2012_01_01 04:41:33	33.1	30.6	26.5	76.4	81.2	14	10.4
2012_01_01 04:47:48	33	30.6	26.6	77	81.6	14	8.8
2012_01_01 04:56:03	33	30.6	26.5	76.6	19.2	14	8.6
2012_01_01 05:02:19	33	30.6	26.5	76.8	221.8	15	10.6
2012_01_01 05:08:35	33	30.6	26.9	78	214.2	15	10.2
2012_01_01 05:14:50	33.2	30.6	27	77.8	147.2	15	12
2012_01_01 05:21:05	33	30.6	26.7	77.2	218	16	13.6
2012_01_01 05:27:21	33.1	30.6	27.1	78.2	285.6	16	13.4
2012_01_01 05:33:36	32.9	30.6	26.5	77	210.8	17	12
2012_01_01 05:39:52	32.9	30.6	26.7	77.8	11	17	13
2012_01_01 05:46:08	32.8	30.6	26.6	77.6	79.6	17	12.6
2012_01_01 05:52:24	33.1	30.6	26.9	77.8	148.2	17	13.6
2012_01_01 05:58:39	33	30.6	26.7	77.2	13.6	17	13.8
2012_01_01 06:04:54	33.1	30.6	26.8	77.4	14.8	17	11.8
2012_01_01 06:11:10	32.8	30.6	26.4	76.8	75.8	16	11.8
